Time (s),Channel 1 (V)
-4.096e-05,1.222060137815449
-4.095e-05,1.119337481982656
-4.094e-05,1.302770795969699
-4.093e-05,1.112000149423258
-4.092e-05,1.247740801773647
-4.091e-05,1.291764797130558
-4.09e-05,1.156024144780082
-4.089e-05,1.339457458767128
-4.088e-05,1.163361477339567
-4.087e-05,1.218391471535706
-4.086e-05,1.244072135493904
-4.085e-05,1.156024144780109
-4.084e-05,1.214722805255964
-4.083e-05,1.18170480873828
-4.082e-05,1.16703014361931
-4.081e-05,1.141349479661123
-4.08e-05,1.167030143619298
-4.079e-05,1.08265081918523
-4.078e-05,1.130343480821884
-4.077e-05,1.148686812220577
-4.076e-05,1.104662816863706
-4.075e-05,1.156024144780082
-4.074e-05,1.112000149423171
-4.073e-05,1.108331483143428
-4.072e-05,1.15235547850032
-4.071e-05,1.104662816863686
-4.07e-05,1.119337481982656
-4.069e-05,1.126674814542141
-4.068e-05,1.130343480821881
-4.067e-05,1.123006148262399
-4.066e-05,1.137680813381369
-4.065e-05,1.126674814542141
-4.064e-05,1.104662816863701
-4.063e-05,1.137680813381354
-4.062e-05,1.115668815702914
-4.061e-05,1.126674814542141
-4.06e-05,1.137680813381361
-4.059e-05,1.119337481982665
-4.058e-05,1.119337481982656
-4.057e-05,1.130343480821884
-4.056e-05,1.112000149423171
-4.055e-05,1.119337481982653
-4.054e-05,1.126674814542141
-4.053e-05,1.123006148262399
-4.052e-05,1.126674814542141
-4.051e-05,1.141349479661107
-4.05e-05,1.130343480821884
-4.049e-05,1.134012147101626
-4.048e-05,1.126674814542141
-4.047e-05,1.134012147101632
-4.046e-05,1.145018145940854
-4.045e-05,1.112000149423171
-4.044e-05,1.126674814542141
-4.043e-05,1.126674814542141
-4.042e-05,1.126674814542141
-4.041e-05,1.126674814542141
-4.04e-05,1.137680813381369
-4.039e-05,1.112000149423171
-4.038e-05,1.119337481982653
-4.037e-05,1.134012147101626
-4.036e-05,1.137680813381369
