Time (s),Channel 1 (V)
-4.045244094488189e-05,-0.05830439381471593
-4.044244094488189e-05,-0.07297905893368629
-4.043244094488189e-05,-0.09132239033239425
-4.042244094488189e-05,-0.08031639149317649
-4.041244094488189e-05,-0.07297905893368629
-4.040244094488189e-05,-0.08031639149317148
-4.039244094488189e-05,-0.08031639149317148
-4.038244094488189e-05,-0.0839850577729124
-4.037244094488189e-05,-0.07664772521342889
-4.036244094488189e-05,-0.0693103926539437
-4.035244094488189e-05,-0.08031639149317148
-4.034244094488189e-05,-0.08398505777290739
-4.033244094488189e-05,-0.0693103926539437
-4.032244094488189e-05,-0.06197306009445852
-4.031244094488189e-05,-0.07664772521342889
-4.030244094488189e-05,-0.06931039265395371
-4.029244094488189e-05,-0.09132239033238926
-4.028244094488189e-05,-0.07297905893368629
-4.027244094488189e-05,-0.07297905893368629
-4.026244094488189e-05,-0.06931039265394204
-4.025244094488189e-05,-0.06564172637420278
-4.024244094488189e-05,-0.08398505777291407
-4.023244094488189e-05,-0.07297905893368629
-4.022244094488189e-05,-0.0693103926539437
-4.021244094488189e-05,-0.0693103926539437
-4.020244094488189e-05,-0.06564172637420111
-4.019244094488189e-05,-0.0693103926539437
-4.018244094488189e-05,-0.0693103926539437
-4.017244094488189e-05,-0.07297905893368296
-4.016244094488189e-05,-0.06564172637420111
-4.015244094488189e-05,-0.0693103926539437
-4.014244094488189e-05,-0.0693103926539437
-4.013244094488189e-05,-0.06197306009446352
-4.012244094488189e-05,-0.07297905893368128
-4.011244094488189e-05,-0.08031639149317148
-4.010244094488189e-05,-0.06564172637420111
-4.009244094488189e-05,-0.06564172637420612
-4.008244094488189e-05,-0.07664772521342388
-4.007244094488189e-05,-0.0693103926539437
-4.006244094488189e-05,-0.06564172637420111
-4.005244094488189e-05,-0.0693103926539437
-4.004244094488189e-05,-0.0693103926539437
-4.003244094488189e-05,-0.07297905893368629
-4.002244094488189e-05,-0.07297905893368629
-4.001244094488189e-05,-0.05830439381471593
-4.000244094488189e-05,-0.07297905893368463
-3.999244094488189e-05,-0.0693103926539437
-3.998244094488189e-05,-0.06197306009445852
-3.997244094488189e-05,-0.08031639149317148
-3.996244094488189e-05,-0.06931039265394037
-3.995244094488189e-05,-0.06197306009445852
-3.994244094488189e-05,-0.07664772521342889
-3.993244094488189e-05,-0.06197306009445852
-3.992244094488189e-05,-0.05830439381471593
-3.991244094488189e-05,-0.05830439381471593
-3.990244094488189e-05,-0.07664772521342889
-3.989244094488189e-05,-0.08031639149317148
-3.988244094488189e-05,-0.0693103926539437
-3.987244094488189e-05,-0.0693103926539437
-3.986244094488189e-05,-0.0693103926539437
-3.985244094488189e-05,-0.07297905893368629
-3.984244094488189e-05,-0.06197306009445852
-3.983244094488189e-05,-0.06197306009446186
-3.982244094488189e-05,-0.0693103926539437
-3.981244094488189e-05,-0.08398505777291407
-3.980244094488189e-05,-0.05463572753497334
-3.979244094488189e-05,-0.06197306009446686
-3.978244094488189e-05,-0.08031639149317148
-3.977244094488189e-05,-0.0693103926539437
-3.976244094488189e-05,-0.05830439381471593
-3.975244094488189e-05,-0.07297905893367629
-3.974244094488189e-05,-0.05096706125524075
-3.973244094488189e-05,-0.04362972869574556
-3.972244094488189e-05,-0.04729839497548816
-3.971244094488189e-05,-0.0693103926539437
-3.970244094488189e-05,-0.0693103926539437
-3.969244094488189e-05,-0.08031639149317148
-3.968244094488189e-05,-0.0693103926539437
-3.967244094488189e-05,-0.08765372405265667
-3.966244094488189e-05,-0.06931039265395204
-3.965244094488189e-05,-0.06197306009445852
-3.964244094488189e-05,-0.07297905893368629
-3.963244094488189e-05,-0.2344003752423603
-3.962244094488189e-05,-1.107542949820877
-3.961244094488189e-05,-0.623279000895075
-3.960244094488189e-05,-0.08031639149317148
-3.959244094488189e-05,0.3195682329987711
-3.958244094488189e-05,0.4039475574327923
-3.957244094488189e-05,0.2755442376419183
-3.956244094488189e-05,0.04808692829781924
-3.955244094488189e-05,0.04074959573833405
-3.954244094488189e-05,0.1287975864521479
-3.953244094488189e-05,0.1104542550534516
