Time (s),Channel 1 (V)
-4.04596052631579e-05,6.282897317202143
-4.04496052631579e-05,6.290234649761627
-4.04396052631579e-05,6.31224664744008
-4.04296052631579e-05,6.304909314880602
-4.04196052631579e-05,6.301240648600857
-4.04096052631579e-05,6.275559984642658
-4.03996052631579e-05,6.2792286509224
-4.03896052631579e-05,6.308577981160328
-4.03796052631579e-05,6.286565983481886
-4.03696052631579e-05,6.275559984642658
-4.03596052631579e-05,6.282897317202143
-4.034960526315789e-05,6.271891318362926
-4.03396052631579e-05,6.297571982321113
-4.03296052631579e-05,6.271891318362915
-4.03196052631579e-05,6.301240648600857
-4.030960526315789e-05,6.286565983481889
-4.02996052631579e-05,6.293903316041368
-4.02896052631579e-05,6.282897317202143
-4.02796052631579e-05,6.282897317202143
-4.02696052631579e-05,6.290234649761626
-4.02596052631579e-05,6.286565983481887
-4.02496052631579e-05,6.304909314880598
-4.02396052631579e-05,6.312246647440084
-4.02296052631579e-05,6.293903316041371
-4.02196052631579e-05,6.279228650922407
-4.02096052631579e-05,6.301240648600857
-4.01996052631579e-05,6.301240648600857
-4.01896052631579e-05,6.293903316041371
-4.017960526315789e-05,6.2792286509224
-4.01696052631579e-05,6.2792286509224
-4.01596052631579e-05,6.282897317202143
-4.01496052631579e-05,6.293903316041371
-4.013960526315789e-05,6.304909314880591
-4.01296052631579e-05,6.290234649761635
-4.01196052631579e-05,6.275559984642658
-4.01096052631579e-05,6.301240648600857
-4.00996052631579e-05,6.290234649761627
-4.00896052631579e-05,6.290234649761627
-4.00796052631579e-05,6.308577981160341
-4.00696052631579e-05,6.308577981160341
-4.00596052631579e-05,6.326921312559055
-4.00496052631579e-05,6.286565983481904
-4.00396052631579e-05,6.290234649761627
-4.00296052631579e-05,6.293903316041371
-4.00196052631579e-05,6.301240648600857
-4.000960526315789e-05,6.290234649761633
-3.99996052631579e-05,6.301240648600857
-3.99896052631579e-05,6.275559984642658
-3.99796052631579e-05,6.297571982321113
-3.996960526315789e-05,6.286565983481886
-3.99596052631579e-05,6.286565983481886
-3.99496052631579e-05,6.2792286509224
-3.99396052631579e-05,6.304909314880598
-3.99296052631579e-05,6.286565983481887
-3.99196052631579e-05,6.290234649761626
-3.99096052631579e-05,6.290234649761627
-3.98996052631579e-05,6.286565983481886
-3.98896052631579e-05,6.297571982321113
-3.98796052631579e-05,6.293903316041373
-3.98696052631579e-05,6.282897317202143
-3.98596052631579e-05,6.282897317202143
-3.98496052631579e-05,6.308577981160341
-3.983960526315789e-05,6.286565983481886
-3.98296052631579e-05,6.286565983481886
-3.98196052631579e-05,6.293903316041371
-3.98096052631579e-05,6.282897317202143
-3.979960526315789e-05,6.286565983481893
-3.97896052631579e-05,6.301240648600857
-3.97796052631579e-05,6.308577981160341
-3.97696052631579e-05,6.282897317202143
-3.97596052631579e-05,6.290234649761631
-3.97496052631579e-05,6.297571982321109
-3.97396052631579e-05,6.286565983481886
-3.97296052631579e-05,6.290234649761627
-3.97196052631579e-05,6.297571982321113
-3.97096052631579e-05,6.308577981160336
-3.96996052631579e-05,6.297571982321113
-3.96896052631579e-05,6.290234649761627
-3.96796052631579e-05,6.297571982321113
-3.96696052631579e-05,6.279228650922408
-3.96596052631579e-05,6.2792286509224
-3.96496052631579e-05,6.308577981160341
-3.96396052631579e-05,6.293903316041371
-3.962960526315789e-05,6.290234649761635
-3.96196052631579e-05,6.304909314880598
-3.96096052631579e-05,6.308577981160341
-3.95996052631579e-05,6.290234649761627
-3.95896052631579e-05,6.297571982321106
-3.95796052631579e-05,6.28289731720215
-3.95696052631579e-05,6.286565983481886
-3.95596052631579e-05,6.2792286509224
-3.95496052631579e-05,6.286565983481884
-3.95396052631579e-05,6.282897317202145
-3.95296052631579e-05,6.286565983481886
-3.95196052631579e-05,6.297571982321113
-3.95096052631579e-05,6.290234649761627
-3.94996052631579e-05,6.308577981160333
-3.94896052631579e-05,6.286565983481886
-3.94796052631579e-05,6.282897317202143
-3.94696052631579e-05,6.293903316041371
-3.945960526315789e-05,6.286565983481889
-3.94496052631579e-05,6.293903316041371
-3.94396052631579e-05,6.293903316041371
-3.94296052631579e-05,6.286565983481886
-3.94196052631579e-05,6.286565983481882
-3.94096052631579e-05,6.279228650922404
-3.93996052631579e-05,6.271891318362915
-3.93896052631579e-05,6.2792286509224
-3.93796052631579e-05,6.304909314880595
-3.93696052631579e-05,6.297571982321116
-3.93596052631579e-05,6.2792286509224
-3.93496052631579e-05,6.297571982321113
-3.93396052631579e-05,6.2792286509224
-3.93296052631579e-05,6.290234649761622
-3.93196052631579e-05,6.275559984642658
-3.93096052631579e-05,6.286565983481886
-3.92996052631579e-05,6.290234649761627
-3.928960526315789e-05,6.282897317202135
