#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0E03A
#Date Time: 2021-06-21 12:03:18.221
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.5 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 5 V/div Offset: -1.5 V Attenuation: 1 X
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 1.45 V
#Negative Supply: OFF
#Voltage: -500 mV

Time (s),Channel 1 (V)
-8.491992932862191e-05,1.450360383843243
-8.489992932862191e-05,1.542077040836807
-8.487992932862191e-05,1.527402375717825
-8.485992932862192e-05,1.501721711759651
-8.483992932862192e-05,1.472372381521698
-8.481992932862191e-05,1.457697716402728
-8.479992932862191e-05,1.457697716402728
-8.477992932862192e-05,1.446691717563505
-8.475992932862192e-05,1.454029050122985
-8.473992932862191e-05,1.4466917175635
-8.471992932862191e-05,1.450360383843243
-8.469992932862191e-05,1.457697716402724
-8.467992932862192e-05,1.450360383843243
-8.465992932862191e-05,1.454029050122985
-8.463992932862191e-05,1.443023051283757
-8.461992932862191e-05,1.457697716402728
-8.459992932862192e-05,1.457697716402728
-8.457992932862191e-05,1.435685718724272
-8.455992932862191e-05,1.443023051283757
-8.453992932862191e-05,1.439354385004023
-8.451992932862192e-05,1.457697716402719
-8.449992932862192e-05,1.454029050122985
-8.447992932862191e-05,1.454029050122985
-8.445992932862191e-05,1.439354385004015
-8.443992932862192e-05,1.443023051283756
-8.441992932862192e-05,1.443023051283757
-8.439992932862191e-05,1.443023051283757
-8.437992932862191e-05,1.454029050122985
-8.435992932862191e-05,1.45769771640273
-8.433992932862192e-05,1.461366382682471
-8.431992932862191e-05,1.4466917175635
-8.429992932862191e-05,1.457697716402728
-8.427992932862191e-05,1.45402905012298
-8.425992932862192e-05,1.443023051283763
-8.423992932862191e-05,1.439354385004015
-8.421992932862191e-05,1.450360383843243
-8.419992932862191e-05,1.443023051283759
-8.417992932862192e-05,1.446691717563498
-8.415992932862192e-05,1.454029050122985
-8.413992932862191e-05,1.443023051283757
-8.411992932862191e-05,1.461366382682471
-8.409992932862192e-05,1.465035048962211
-8.407992932862192e-05,1.454029050122985
-8.405992932862191e-05,1.450360383843243
