Time (s),Channel 1 (V)
-3.995398692810458e-05,-0.09132239033239926
-3.994398692810458e-05,-0.08765372405265667
-3.993398692810457e-05,-0.09132239033240093
-3.992398692810458e-05,-0.09499105661214019
-3.991398692810458e-05,-0.09499105661214186
-3.990398692810458e-05,-0.09132239033239926
-3.989398692810457e-05,-0.09132239033239926
-3.988398692810458e-05,-0.105997055451363
-3.987398692810458e-05,-0.08765372405265667
-3.986398692810458e-05,-0.08765372405265667
-3.985398692810457e-05,-0.09132239033239926
-3.984398692810457e-05,-0.09499105661213852
-3.983398692810458e-05,-0.08765372405265667
-3.982398692810458e-05,-0.102328389171627
-3.981398692810458e-05,-0.08398505777291407
-3.980398692810457e-05,-0.09499105661213852
-3.979398692810458e-05,-0.08765372405266
-3.978398692810458e-05,-0.08398505777291407
-3.977398692810458e-05,-0.1133343880108548
-3.976398692810457e-05,-0.09865972289188611
-3.975398692810458e-05,-0.1023283891716254
-3.974398692810458e-05,-0.09865972289188445
-3.973398692810458e-05,-0.09499105661214186
-3.972398692810457e-05,-0.09865972289188445
-3.971398692810458e-05,-0.09865972289188445
-3.970398692810458e-05,-0.102328389171627
-3.969398692810458e-05,-0.12067172057034
-3.968398692810457e-05,-0.0693103926539437
-3.967398692810457e-05,-0.09499105661213518
-3.966398692810458e-05,-0.08031639149317148
-3.965398692810458e-05,-0.1096657217311122
-3.964398692810457e-05,-0.09865972289188445
-3.963398692810457e-05,-0.08398505777292074
-3.962398692810458e-05,-0.09865972289187777
-3.961398692810458e-05,-0.1096657217311122
-3.960398692810458e-05,-0.09132239033239926
-3.959398692810457e-05,-0.1059970554513563
-3.958398692810458e-05,-0.07664772521344224
-3.957398692810458e-05,-0.09132239033239926
-3.956398692810458e-05,-0.08765372405265667
-3.955398692810457e-05,-0.102328389171627
-3.954398692810458e-05,-0.09865972289188611
-3.953398692810458e-05,-0.09499105661214186
-3.952398692810458e-05,-0.09132239033239926
-3.951398692810457e-05,-0.09132239033239926
-3.950398692810457e-05,-0.07664772521343723
-3.949398692810458e-05,-0.09499105661214186
-3.948398692810458e-05,-0.09499105661214186
-3.947398692810457e-05,-0.09499105661214186
-3.946398692810457e-05,-0.08765372405266
-3.945398692810458e-05,-0.09499105661214186
-3.944398692810458e-05,-0.102328389171627
-3.943398692810458e-05,-0.08031639149317148
-3.942398692810457e-05,-0.07664772521344224
-3.941398692810458e-05,-0.1059970554513563
-3.940398692810458e-05,-0.07664772521342889
-3.939398692810458e-05,-0.1096657217311122
-3.938398692810457e-05,-0.07664772521342889
-3.937398692810458e-05,-0.09132239033239259
-3.936398692810458e-05,-0.09499105661214186
-3.935398692810458e-05,-0.08031639149317148
-3.934398692810457e-05,-0.09499105661214186
-3.933398692810457e-05,-0.0766477252134339
-3.932398692810458e-05,-0.08765372405265667
-3.931398692810458e-05,-0.09499105661214186
-3.930398692810457e-05,-0.08398505777291407
-3.929398692810457e-05,-0.0949910566121502
-3.928398692810458e-05,-0.1133343880108548
-3.927398692810458e-05,-0.08765372405265667
-3.926398692810458e-05,-0.09499105661214186
-3.925398692810457e-05,-0.09132239033239593
-3.924398692810458e-05,-0.0839850577729174
-3.923398692810458e-05,-0.08031639149317148
-3.922398692810458e-05,-0.08398505777291407
-3.921398692810457e-05,-0.09499105661214186
-3.920398692810458e-05,-0.1059970554513646
-3.919398692810458e-05,-0.09132239033239926
-3.918398692810458e-05,-0.08765372405265667
-3.917398692810457e-05,-0.08398505777291407
-3.916398692810458e-05,-0.09132239033239593
-3.915398692810458e-05,-0.08398505777291407
-3.914398692810458e-05,-0.08765372405265667
-3.913398692810457e-05,-0.08765372405265667
-3.912398692810457e-05,-0.08765372405266
-3.911398692810458e-05,-0.09499105661214186
-3.910398692810458e-05,-0.09132239033239926
-3.909398692810458e-05,-0.08765372405265667
-3.908398692810457e-05,-0.08031639149317982
-3.907398692810458e-05,-0.09865972289187611
-3.906398692810458e-05,-0.07297905893368629
-3.905398692810458e-05,-0.08765372405265667
-3.904398692810457e-05,-0.07664772521342722
-3.903398692810458e-05,-0.07297905893368796
-3.902398692810458e-05,-0.08398505777291407
-3.901398692810458e-05,-0.08031639149317148
-3.900398692810457e-05,-0.07297905893368629
-3.899398692810458e-05,-0.09499105661213185
-3.898398692810458e-05,-0.08765372405265667
-3.897398692810458e-05,-0.07297905893368629
-3.896398692810457e-05,-0.07664772521342889
-3.895398692810457e-05,-0.08398505777291573
-3.894398692810458e-05,-0.08765372405265667
-3.893398692810458e-05,-0.08398505777291407
-3.892398692810458e-05,-0.07664772521342889
-3.891398692810457e-05,-0.0839850577729174
-3.890398692810458e-05,-0.09132239033239593
-3.889398692810458e-05,-0.08398505777291407
-3.888398692810458e-05,-0.08765372405265667
-3.887398692810457e-05,-0.08765372405265834
-3.886398692810458e-05,-0.0913223903323976
